1780	6.7	7.3	11.6	11.4	16.3	19.1	21.4	22	20.3	16.3	9.2	7.3
1781	7.5	8.9	10.9	13.7	16.8	18	22	22.6	19.1	15	11.8	10.3
1782	8.2	6.1	9.8	10.5	15.4	20.1	22.3	22.6	19.9	13.8	7.4	7.5
1783	8.3	8.6	9.6	12.4	15	19.1	22.9	21.4	18.6	15.5	11	10.4
1784	7.3	7.1	10.8	10.7	16.7	20.7	22	20.5	20	13.8	8.5	5.3
1785	9	6.4	7.9	11	16	20.3	21	21.7	21.6	16.8	10.3	7.9
1786	7.8	8.3	9.9	12.8	16.8	20.2	20.9	21.1	19.5	15.5	9.2	8.3
1787	5.4	7.8	11.3	12.1	14.7	19.2	21	21.8	19.4	15.5	9.3	10.8
1788	6.4	10.1	10.4	12.5	17.1	19.2	22.1	23	19.1	15.5	10.5	5.4
1789	6.9	9.3	8.7	13.3	17.7	18.5	20.9	21.9	20	14.7	7.8	7.3
1790	7.4	9.5	10.4	12.3	15	19	20.8	23.1	19.3	17.1	11.7	7.9
1791	9.5	6.9	11.1	14.7	13.7	18.4	21.2	23.6	20.7	14.7	9.9	8.9
1792	8.7	8.9	11.4	14	16.2	19.5	21.9	22.6	17.9	15.7	10.8	8.1
1793	6.7	8.8	9.6	11	14.9	18.4	23.1	23.5	18.9	16.5	11.6	8.5
1794	7	9.7	11.2	14.5	15.8	18.5	23.8	22.5	19.2	15	11.8	7
1795	6.3	8.3	9.7	12.7	17.9	17.8	19.9	22.3	19.8	17.7	9	9.7
1796	9	7.9	6.7	12.1	15.5	19.4	21	21.9	19.2	15.3	9.3	7.7
1797	6.8	8.7	8.3	12.2	16.4	17	22.3	23.3	19.3	14.5	10.3	9.4
1798	7.1	8.6	9.9	12.7	16.6	19.9	22.9	23.7	20.6	17.4	12.1	9.4
1799	7.4	11.7	10.7	12.3	15.6	18.7	22	22	19.6	15.9	11.9	6.2
1800	7.5	8.9	9.1	13.3	16.4	17.9	23.2	22.3	18.8	14.5	10.1	8.2
1801	7.2	7.7	10.7	11.7	16	19	21.2	22.4	18.6	14.4	9.8	9.3
1802	3.6	7.1	9	12.3	15.2	20.6	21.4	23.7	21	15.9	10.9	8.1
1803	6.9	5	8.1	12.7	14.2	20.5	22.4	23.2	18.9	15	11.1	8.2
1804	9.7	6	9.6	11.7	17.2	21.3	21	21.6	20.4	15	12.1	9.5
1805	6.7	8.1	9.9	11.1	15.1	18.4	21.3	21.6	19.5	14.7	10.9	6.5
1806	6.8	8.3	9.9	9.5	15.4	20.5	21.5	21.6	17.9	16.3	10.4	9.4
1807	6.6	8	6.4	10	16.5	19.9	22.6	23.8	19.5	17.2	9.8	6.5
1808	5.4	5.2	8.8	11.2	15.9	18	22.9	22.1	18.7	13.4	9.7	6.1
1809	9.5	9.2	9.4	9.4	14.7	18.2	19.6	21.1	17.6	14.4	8.2	6.6
1810	5.6	5.8	11	10.9	14.7	17.1	20.5	20.9	18.1	15.5	10.7	8.1
1811	5.3	9.9	10.6	13.1	17.1	20.7	22.1	20.9	19	17.6	11.1	8.2
1812	4.8	9.1	9.4	10.5	14.5	19.1	20.3	21.5	18.7	14.4	10.7	7.5
1813	5.4	7.2	8.1	11.6	16.7	17.4	18.7	20.3	17.2	15.2	10.4	7.8
1814	6.5	5.3	7.3	11.6	13.9	17.2	19.7	20.1	17.3	13.8	10.3	9
1815	4.4	8.7	11.2	10.9	15.3	17.3	20.1	20.3	19.8	15.8	8.5	6.4
1816	5.9	7.2	9.1	10.7	14.6	16.2	18.4	18.8	17.8	15.2	9.4	6.8
1817	7.5	9.2	10.5	11.1	14.1	18.1	20.3	20.8	19.4	12.9	11.6	7.3
1818	7.7	9.3	10.7	12.1	14.2	18.1	21.3	21.6	18.4	15.7	12.7	7.1
